"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_a2",""
"skipped","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_a",""
"failed","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_a3[345]",""
"passed","Sun Aug 04 22:25:09 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","505","","apiTest","","","","test_user_operations",""
"failed","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_a3[123]",""
"skipped","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_2",""
"passed","Sun Aug 04 22:25:10 GMT 2024","Sun Aug 04 22:25:10 GMT 2024","0","","apiTest","","","","test_a3[234]",""
