"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_a",""
"failed","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_a3[123]",""
"passed","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_a3[234]",""
"skipped","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_a2",""
"failed","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_a3[345]",""
"skipped","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","0","","apiTest","","","","test_2",""
"passed","Mon Jan 20 21:36:11 GMT 2025","Mon Jan 20 21:36:11 GMT 2025","217","","apiTest","","","","test_user_operations",""
