"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","0","","apiTest","","","","test_a2",""
"failed","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","1","","apiTest","","","","test_a3[345]",""
"skipped","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","0","","apiTest","","","","test_a",""
"skipped","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","0","","apiTest","","","","test_2",""
"failed","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","0","","apiTest","","","","test_a3[123]",""
"passed","Sun Aug 04 22:11:49 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","349","","apiTest","","","","test_user_operations",""
"passed","Sun Aug 04 22:11:50 GMT 2024","Sun Aug 04 22:11:50 GMT 2024","0","","apiTest","","","","test_a3[234]",""
